State,DisBlk,BlkVAP,BlkPctDis,TotDis,TotVAP,totPctDis,TotPrisoners,Male,Female,blkVAP,blkMaleVAP,blkFemaleVAP,statefips,slaveStates,pctBlkMen,pctBlkMenIncarcerated,blkMenVAP,blkMenDis,allOthersDis,allOthersVAP,blkMenPctDis,allOthersPctDis,ratioBlkVoteToOthers
New Jersey,47470,899227,0.0528,94315,6959192,0.014,20489,19581,908,905599,415474,490125,34,0,0.458783634,0.955683538,412550.6307,45366.29753,48948.70247,6546641.369,0.109965406,0.007476918,0.896739442
New Mexico,1581,33582,0.0471,24286,1588201,0.015,7169,6463,706,32236,18759,13477,35,1,0.581927038,0.901520435,19542.27379,1425.303808,22860.69619,1568658.726,0.072934389,0.014573403,0.940775917
New York,46286,2277485,0.0203,97581,15584974,0.006,51727,49373,2354,2338269,1051083,1287186,36,0,0.449513294,0.954491851,1023759.784,44179.60984,53401.39016,14561214.22,0.043154274,0.003667372,0.960367752
North Carolina,42905,1630848,0.0263,91179,7752234,0.012,36617,33928,2689,1578941,717676,861265,37,0,0.454529967,0.926564164,741269.287,39754.23546,51424.76454,7010964.713,0.053629951,0.007334906,0.953362876
North Dakota,182,8799,0.0207,2178,583001,0.004,1795,1587,208,8537,5481,3056,38,0,0.642028816,0.884122563,5649.21155,160.9103064,2017.089694,577351.7885,0.028483675,0.003493693,0.974922404
Ohio,24829,1069118,0.0232,52837,8984946,0.006,52233,47803,4430,1028893,477897,550996,39,0,0.46447687,0.915187717,496580.5821,22723.19581,30113.80419,8488365.418,0.045759332,0.003547656,0.957638039
Oklahoma,15116,223354,0.0677,58302,2950017,0.02,28547,25489,3058,203870,100807,103063,40,0,0.494467062,0.892878411,110441.1962,13496.75006,44805.24994,2839575.804,0.122207569,0.015778853,0.891865039
Oregon,1593,60807,0.0262,14748,3166121,0.005,15245,13938,1307,53393,29418,23975,41,0,0.550971101,0.914266973,33502.89974,1456.427288,13291.57271,3132618.1,0.043471679,0.00424296,0.960604126
Pennsylvania,25596,1041629,0.0246,52974,10112229,0.005,49858,47039,2819,1034399,486299,548100,42,0,0.470127098,0.943459425,489698.0189,24148.78744,28825.21256,9622530.981,0.049313631,0.002995596,0.953542798
Rhode Island,963,47566,0.0203,3355,845254,0.004,3248,3102,146,48474,23726,24748,44,0,0.489458266,0.955049261,23281.57189,919.7124384,2435.287562,821972.4281,0.039503881,0.002962736,0.963350272
South Carolina,38916,1014456,0.0384,47238,3804558,0.012,20929,19574,1355,976695,444615,532080,45,1,0.455223995,0.935257298,461804.7133,36396.47303,10841.52697,3342753.287,0.078813559,0.003243293,0.92418384
South Dakota,363,9316,0.039,10392,647145,0.016,3564,3148,416,8514,5417,3097,46,0,0.636246183,0.883277217,5927.269439,320.6296296,10071.37037,641217.7306,0.054093986,0.015706631,0.961000088
Tennessee,173895,817457,0.2127,421227,5102688,0.083,28172,25532,2640,796814,366717,430097,47,1,0.460229112,0.906289933,376217.5096,157599.2879,263627.7121,4726470.49,0.418904713,0.055776866,0.615421574
Texas,147727,2393055,0.0617,495928,20257343,0.025,163909,149501,14408,2299224,1090367,1208857,48,1,0.474232611,0.912097566,1134864.72,134741.4372,361186.5628,19122478.28,0.118729074,0.018888062,0.89823688
Utah,724,22763,0.0318,7669,2083423,0.004,6492,5977,515,20514,11974,8540,49,0,0.583698937,0.920671596,13286.73891,666.5662354,7002.433765,2070136.261,0.050167783,0.003382596,0.95305602
Vermont,0,5244,0,0,506119,-,1750,1600,150,4777,2666,2111,50,0,0.558090852,0.914285714,2926.628428,0,0,503192.3716,0,0,1
Virginia,271944,1241868,0.219,508680,6512571,0.078,38403,35167,3236,1201393,563506,637887,51,1,0.469043852,0.91573575,582490.5499,249028.8427,259651.1573,5930080.45,0.427524262,0.043785436,0.598689624
Washington,7987,215438,0.0371,48552,5558509,0.009,18284,16829,1455,189109,104093,85016,53,0,0.550439165,0.920422227,118585.5128,7351.412328,41200.58767,5439923.487,0.061992499,0.007573744,0.945165945
West Virginia,1792,50496,0.0355,14727,1464532,0.01,7118,6253,865,48185,26484,21701,54,1,0.549631628,0.8784771,27754.19869,1574.230964,13152.76904,1436777.801,0.056720462,0.009154352,0.95199443
Wisconsin,22447,256592,0.0875,65606,4476711,0.015,22975,21567,1408,245457,117898,127559,55,0,0.480320382,0.938715996,123246.3675,21071.35795,44534.64205,4353464.633,0.170969404,0.010229701,0.837598984
Wyoming,966,5621,0.1718,23847,447212,0.053,2424,2157,267,4685,2889,1796,56,0,0.616648879,0.889851485,3466.183351,859.5965347,22987.40347,443745.8166,0.247995114,0.051803088,0.793089364
